date,Region,"Case per 100,000"
2021-12-26,Bangsamoro Region,1.0
2021-12-27,Bangsamoro Region,1.0
2021-12-28,Bangsamoro Region,0.0
2021-12-29,Bangsamoro Region,4.0
2021-11-30,Bangsamoro Region,6.0
2021-11-29,Bangsamoro Region,7.0
2021-11-28,Bangsamoro Region,7.0
2021-11-27,Bangsamoro Region,8.0
2021-10-28,Bangsamoro Region,96.0
2021-10-29,Bangsamoro Region,32.0
2021-10-30,Bangsamoro Region,34.0
2021-10-31,Bangsamoro Region,39.0
2021-11-01,Bangsamoro Region,34.0
2021-11-02,Bangsamoro Region,26.0
2021-11-03,Bangsamoro Region,36.0
2021-11-04,Bangsamoro Region,12.0
2021-11-05,Bangsamoro Region,30.0
2021-11-06,Bangsamoro Region,51.0
2021-11-07,Bangsamoro Region,38.0
2021-11-08,Bangsamoro Region,17.0
2021-11-09,Bangsamoro Region,33.0
2021-11-10,Bangsamoro Region,46.0
2021-10-26,Bangsamoro Region,31.0
2021-11-11,Bangsamoro Region,26.0
2021-11-13,Bangsamoro Region,32.0
2021-11-14,Bangsamoro Region,29.0
2021-11-15,Bangsamoro Region,15.0
2021-11-16,Bangsamoro Region,9.0
2021-11-17,Bangsamoro Region,26.0
2021-11-18,Bangsamoro Region,14.0
2021-11-19,Bangsamoro Region,17.0
2021-11-20,Bangsamoro Region,19.0
2021-11-21,Bangsamoro Region,47.0
2021-11-22,Bangsamoro Region,12.0
2021-11-23,Bangsamoro Region,1.0
2021-11-24,Bangsamoro Region,8.0
2021-11-25,Bangsamoro Region,20.0
2021-11-26,Bangsamoro Region,15.0
2021-11-12,Bangsamoro Region,22.0
2022-05-14,Bangsamoro Region,0.0
2022-05-15,Bangsamoro Region,3.0
2022-05-16,Bangsamoro Region,2.0
2022-11-01,Bangsamoro Region,9.0
2022-11-02,Bangsamoro Region,15.0
2022-11-03,Bangsamoro Region,13.0
2022-11-04,Bangsamoro Region,19.0
2022-11-05,Bangsamoro Region,7.0
2022-11-06,Bangsamoro Region,8.0
2022-11-07,Bangsamoro Region,34.0
2022-11-08,Bangsamoro Region,9.0
2022-11-09,Bangsamoro Region,15.0
2022-11-10,Bangsamoro Region,10.0
2022-11-11,Bangsamoro Region,14.0
2022-11-12,Bangsamoro Region,15.0
2022-11-13,Bangsamoro Region,28.0
2022-11-14,Bangsamoro Region,6.0
2022-11-15,Bangsamoro Region,17.0
2022-11-16,Bangsamoro Region,18.0
2022-11-17,Bangsamoro Region,7.0
2022-11-18,Bangsamoro Region,16.0
2022-11-19,Bangsamoro Region,14.0
2022-11-20,Bangsamoro Region,31.0
2022-11-21,Bangsamoro Region,12.0
2022-11-22,Bangsamoro Region,6.0
2022-11-23,Bangsamoro Region,19.0
2022-11-24,Bangsamoro Region,22.0
2022-11-25,Bangsamoro Region,8.0
2022-11-26,Bangsamoro Region,14.0
2022-11-27,Bangsamoro Region,23.0
2022-11-28,Bangsamoro Region,8.0
2022-11-29,Bangsamoro Region,7.0
2022-10-31,Bangsamoro Region,16.0
2022-10-30,Bangsamoro Region,8.0
2022-10-29,Bangsamoro Region,15.0
2022-10-28,Bangsamoro Region,20.0
2022-09-28,Bangsamoro Region,14.0
2022-09-29,Bangsamoro Region,15.0
2022-09-30,Bangsamoro Region,11.0
2022-10-01,Bangsamoro Region,26.0
2022-10-02,Bangsamoro Region,18.0
2022-10-03,Bangsamoro Region,27.0
2022-10-04,Bangsamoro Region,13.0
2022-10-05,Bangsamoro Region,8.0
2022-10-06,Bangsamoro Region,26.0
2022-10-07,Bangsamoro Region,44.0
2022-10-08,Bangsamoro Region,9.0
2022-10-09,Bangsamoro Region,12.0
2022-10-10,Bangsamoro Region,17.0
2022-10-11,Bangsamoro Region,5.0
2022-11-30,Bangsamoro Region,10.0
2022-10-12,Bangsamoro Region,23.0
2022-10-14,Bangsamoro Region,23.0
2022-10-15,Bangsamoro Region,25.0
2022-10-16,Bangsamoro Region,18.0
2022-10-17,Bangsamoro Region,11.0
2022-10-18,Bangsamoro Region,13.0
2022-10-19,Bangsamoro Region,18.0
2022-10-20,Bangsamoro Region,24.0
2022-10-21,Bangsamoro Region,26.0
2022-10-22,Bangsamoro Region,25.0
2022-10-23,Bangsamoro Region,19.0
2022-10-24,Bangsamoro Region,16.0
2022-10-25,Bangsamoro Region,12.0
2022-10-26,Bangsamoro Region,16.0
2022-10-27,Bangsamoro Region,16.0
2022-10-13,Bangsamoro Region,14.0
2022-09-27,Bangsamoro Region,9.0
2022-12-01,Bangsamoro Region,20.0
2022-12-03,Bangsamoro Region,9.0
2023-01-07,Bangsamoro Region,4.0
2023-01-08,Bangsamoro Region,6.0
2023-01-09,Bangsamoro Region,3.0
2023-01-10,Bangsamoro Region,5.0
2023-01-11,Bangsamoro Region,4.0
2023-01-12,Bangsamoro Region,0.0
2023-01-13,Bangsamoro Region,8.0
2023-01-14,Bangsamoro Region,2.0
2023-01-15,Bangsamoro Region,1.0
2023-01-16,Bangsamoro Region,0.0
2023-01-17,Bangsamoro Region,3.0
2023-01-18,Bangsamoro Region,1.0
2023-01-19,Bangsamoro Region,2.0
2023-01-20,Bangsamoro Region,1.0
2023-01-21,Bangsamoro Region,0.0
2023-01-22,Bangsamoro Region,3.0
2023-01-23,Bangsamoro Region,0.0
2023-01-24,Bangsamoro Region,0.0
2023-01-25,Bangsamoro Region,2.0
2023-01-26,Bangsamoro Region,0.0
2023-01-27,Bangsamoro Region,4.0
2023-01-28,Bangsamoro Region,1.0
2023-01-29,Bangsamoro Region,4.0
2023-01-30,Bangsamoro Region,0.0
2023-01-31,Bangsamoro Region,0.0
2023-02-01,Bangsamoro Region,1.0
2023-02-02,Bangsamoro Region,0.0
2023-02-03,Bangsamoro Region,4.0
2023-02-04,Bangsamoro Region,0.0
2023-01-06,Bangsamoro Region,2.0
2023-01-05,Bangsamoro Region,4.0
2023-01-04,Bangsamoro Region,0.0
2023-01-03,Bangsamoro Region,0.0
2022-12-04,Bangsamoro Region,13.0
2022-12-05,Bangsamoro Region,4.0
2022-12-06,Bangsamoro Region,6.0
2022-12-07,Bangsamoro Region,8.0
2022-12-08,Bangsamoro Region,8.0
2022-12-09,Bangsamoro Region,4.0
2022-12-10,Bangsamoro Region,5.0
2022-12-11,Bangsamoro Region,2.0
2022-12-12,Bangsamoro Region,5.0
2022-12-13,Bangsamoro Region,7.0
2022-12-14,Bangsamoro Region,8.0
2022-12-15,Bangsamoro Region,8.0
2022-12-16,Bangsamoro Region,6.0
2022-12-17,Bangsamoro Region,5.0
2022-12-02,Bangsamoro Region,10.0
2022-12-18,Bangsamoro Region,8.0
2022-12-20,Bangsamoro Region,3.0
2022-12-21,Bangsamoro Region,4.0
2022-12-22,Bangsamoro Region,5.0
2022-12-23,Bangsamoro Region,2.0
2022-12-24,Bangsamoro Region,6.0
2022-12-25,Bangsamoro Region,1.0
2022-12-26,Bangsamoro Region,3.0
2022-12-27,Bangsamoro Region,2.0
2022-12-28,Bangsamoro Region,1.0
2022-12-29,Bangsamoro Region,5.0
2022-12-30,Bangsamoro Region,2.0
